,"Type","Date","Num","Name","Memo","Account","Clr","Split","Debit","Credit","Balance","Account Type"
"Cost",,,,,,,,,,,25220.00,
"Total Cost",,,,,,,,,"","",25220.00,
"Extractor Fan down - Other",,,,,,,,,,,0.00,
"Total Extractor Fan down - Other",,,,,,,,,"","",0.00,
"Total Extractor Fan down",,,,,,,,,"","",12910.16,
"Extractor Fan Hoisting",,,,,,,,,,,15193.06,
"Accumulated Depreciation",,,,,,,,,,,-14486.94,
"Total Accumulated Depreciation",,,,,,,,,"","",-14486.94,
"Cost",,,,,,,,,,,29680.00,
"Total Cost",,,,,,,,,"","",29680.00,
"Extractor Fan Hoisting - Other",,,,,,,,,,,0.00,
"Total Extractor Fan Hoisting - Other",,,,,,,,,"","",0.00,
"Total Extractor Fan Hoisting",,,,,,,,,"","",15193.06,
"Extractor Fan packaging",,,,,,,,,,,12910.16,
"Accumulated Depreciation",,,,,,,,,,,-12309.84,
"Total Accumulated Depreciation",,,,,,,,,"","",-12309.84,
"Cost",,,,,,,,,,,25220.00,
"Total Cost",,,,,,,,,"","",25220.00,
"Extractor Fan packaging - Other",,,,,,,,,,,0.00,
"Total Extractor Fan packaging - Other",,,,,,,,,"","",0.00,
"Total Extractor Fan packaging",,,,,,,,,"","",12910.16,
"Floor weighing scale",,,,,,,,,,,-0.04,
"Accumulated Depreciation",,,,,,,,,,,-49880.04,
"Total Accumulated Depreciation",,,,,,,,,"","",-49880.04,
"Cost",,,,,,,,,,,49880.00,
"Total Cost",,,,,,,,,"","",49880.00,
"Floor weighing scale - Other",,,,,,,,,,,0.00,
"Total Floor weighing scale - Other",,,,,,,,,"","",0.00,
"Total Floor weighing scale",,,,,,,,,"","",-0.04,
"Hoisting Bucket 1",,,,,,,,,,,12946.39,
"Accumulated Depreciation",,,,,,,,,,,-12053.61,
,"General Journal","01-01-2025","26417",,"Hoisting Bucket 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",148.81,-12202.42,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,148.81,-12202.42,
"Cost",,,,,,,,,,,25000.00,
"Total Cost",,,,,,,,,"","",25000.00,
"Hoisting Bucket 1 - Other",,,,,,,,,,,0.00,
"Total Hoisting Bucket 1 - Other",,,,,,,,,"","",0.00,
"Total Hoisting Bucket 1",,,,,,,,,0.00,148.81,12797.58,
"Hoisting Bucket 2",,,,,,,,,,,12946.39,
"Accumulated Depreciation",,,,,,,,,,,-12053.61,
,"General Journal","01-01-2025","26418",,"Hoisting Bucket 2 Dereciation","Accumulated Depreciation",,"Depreciation Expense","",148.81,-12202.42,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,148.81,-12202.42,
"Cost",,,,,,,,,,,25000.00,
"Total Cost",,,,,,,,,"","",25000.00,
"Hoisting Bucket 2 - Other",,,,,,,,,,,0.00,
"Total Hoisting Bucket 2 - Other",,,,,,,,,"","",0.00,
"Total Hoisting Bucket 2",,,,,,,,,0.00,148.81,12797.58,
"Material's Trolley",,,,,,,,,,,27083.26,
"Accumulated Depreciation",,,,,,,,,,,-22916.74,
,"General Journal","06-01-2025","26500",,"Material's Trolley Depreciation","Accumulated Depreciation",,"Depreciation Expense","",297.62,-23214.36,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,297.62,-23214.36,
"Cost",,,,,,,,,,,50000.00,
"Total Cost",,,,,,,,,"","",50000.00,
"Material's Trolley - Other",,,,,,,,,,,0.00,
"Total Material's Trolley - Other",,,,,,,,,"","",0.00,
"Total Material's Trolley",,,,,,,,,0.00,297.62,26785.64,
"Pallet Truck 1",,,,,,,,,,,0.20,
"Accumulated depreciation",,,,,,,,,,,-42919.80,
"Total Accumulated depreciation",,,,,,,,,"","",-42919.80,
"Cost",,,,,,,,,,,42920.00,
"Total Cost",,,,,,,,,"","",42920.00,
"Pallet Truck 1 - Other",,,,,,,,,,,0.00,
"Total Pallet Truck 1 - Other",,,,,,,,,"","",0.00,
"Total Pallet Truck 1",,,,,,,,,"","",0.20,
"Pallet truck 2",,,,,,,,,,,2202.08,
"Accumulated depreciation",,,,,,,,,,,-34797.92,
,"General Journal","11-01-2025","26586",,"Pallet truck 2 depreciation","Accumulated depreciation",,"Depreciation Expense","",440.48,-35238.40,"Fixed Asset"
"Total Accumulated depreciation",,,,,,,,,0.00,440.48,-35238.40,
"Cost",,,,,,,,,,,37000.00,
"Total Cost",,,,,,,,,"","",37000.00,
"Pallet truck 2 - Other",,,,,,,,,,,0.00,
"Total Pallet truck 2 - Other",,,,,,,,,"","",0.00,
"Total Pallet truck 2",,,,,,,,,0.00,440.48,1761.60,
"Pallet truck 3",,,,,,,,,,,6642.55,
"Accumulated Depreciation",,,,,,,,,,,-36277.45,
,"General Journal","23-01-2025","26749",,"Pallet truck 3 Dep","Accumulated Depreciation",,"Depreciation Expense","",510.95,-36788.40,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,510.95,-36788.40,
"Cost",,,,,,,,,,,42920.00,
"Total Cost",,,,,,,,,"","",42920.00,
"Pallet truck 3 - Other",,,,,,,,,,,0.00,
"Total Pallet truck 3 - Other",,,,,,,,,"","",0.00,
"Total Pallet truck 3",,,,,,,,,0.00,510.95,6131.60,
"Platform Scale 4 tons 1",,,,,,,,,,,183301.19,
"Accumulated Depreciation",,,,,,,,,,,-722422.81,
"Total Accumulated Depreciation",,,,,,,,,"","",-722422.81,
"Cost",,,,,,,,,,,905724.00,
"Total Cost",,,,,,,,,"","",905724.00,
"Platform Scale 4 tons 1 - Other",,,,,,,,,,,0.00,
"Total Platform Scale 4 tons 1 - Other",,,,,,,,,"","",0.00,
"Total Platform Scale 4 tons 1",,,,,,,,,"","",183301.19,
"Processing Platform",,,,,,,,,,,424643.05,
"Accumulated Depreciation",,,,,,,,,,,-395356.95,
,"General Journal","01-01-2025","26435",,"Processing Platform Depreciation","Accumulated Depreciation",,"Depreciation Expense","",4880.95,-400237.90,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,4880.95,-400237.90,
"Cost",,,,,,,,,,,820000.00,
"Total Cost",,,,,,,,,"","",820000.00,
"Processing Platform - Other",,,,,,,,,,,0.00,
"Total Processing Platform - Other",,,,,,,,,"","",0.00,
"Total Processing Platform",,,,,,,,,0.00,4880.95,419762.10,
"Ribbon Mixer SS",,,,,,,,,,,311071.14,
"Accumulated depreciation",,,,,,,,,,,-468928.86,
,"General Journal","06-01-2025","26503",,"Ribon Mixer SS depreciation","Accumulated depreciation",,"Depreciation Expense","",4642.86,-473571.72,"Fixed Asset"
"Total Accumulated depreciation",,,,,,,,,0.00,4642.86,-473571.72,
"Cost",,,,,,,,,,,780000.00,
"Total Cost",,,,,,,,,"","",780000.00,
"Ribbon Mixer SS - Other",,,,,,,,,,,0.00,
"Total Ribbon Mixer SS - Other",,,,,,,,,"","",0.00,
"Total Ribbon Mixer SS",,,,,,,,,0.00,4642.86,306428.28,
"Sulphonic Acid pressure tank",,,,,,,,,,,9500.64,
"Accumulated Depreciation",,,,,,,,,,,-9059.36,
"Total Accumulated Depreciation",,,,,,,,,"","",-9059.36,
"Cost",,,,,,,,,,,18560.00,
"Total Cost",,,,,,,,,"","",18560.00,
"Sulphonic Acid pressure tank - Other",,,,,,,,,,,0.00,
"Total Sulphonic Acid pressure tank - Other",,,,,,,,,"","",0.00,
"Total Sulphonic Acid pressure tank",,,,,,,,,"","",9500.64,
"Processing Equipment - Other",,,,,,,,,,,5000.00,
"Total Processing Equipment - Other",,,,,,,,,"","",5000.00,
"Total Processing Equipment",,,,,,,,,0.00,287178.23,15681034.86,
"Plant and Equipment - Other",,,,,,,,,,,0.00,
"Total Plant and Equipment - Other",,,,,,,,,"","",0.00,
"Total Plant and Equipment",,,,,,,,,0.00,418137.05,23397607.17,
"Water Supply",,,,,,,,,,,11667.52,
"Water tank 7",,,,,,,,,,,3448.26,
"Accumulated Depreciation",,,,,,,,,,,-862.08,
"Total Accumulated Depreciation",,,,,,,,,"","",-862.08,
"Cost",,,,,,,,,,,4310.34,
"Total Cost",,,,,,,,,"","",4310.34,
"Water tank 7 - Other",,,,,,,,,,,0.00,
"Total Water tank 7 - Other",,,,,,,,,"","",0.00,
"Total Water tank 7",,,,,,,,,"","",3448.26,
"Water tank 6",,,,,,,,,,,3376.42,
"Accumulated Depreciation",,,,,,,,,,,-933.92,
,"General Journal","15-01-2025","26647",,"Water tank 6 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",71.84,-1005.76,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,71.84,-1005.76,
"Cost",,,,,,,,,,,4310.34,
"Total Cost",,,,,,,,,"","",4310.34,
"Water tank 6 - Other",,,,,,,,,,,0.00,
"Total Water tank 6 - Other",,,,,,,,,"","",0.00,
"Total Water tank 6",,,,,,,,,0.00,71.84,3304.58,
"Water tank 5",,,,,,,,,,,2066.70,
"Accumulated Depreciation",,,,,,,,,,,-6200.55,
"Total Accumulated Depreciation",,,,,,,,,"","",-6200.55,
"Cost",,,,,,,,,,,8267.25,
"Total Cost",,,,,,,,,"","",8267.25,
"Water tank 5 - Other",,,,,,,,,,,0.00,
"Total Water tank 5 - Other",,,,,,,,,"","",0.00,
"Total Water tank 5",,,,,,,,,"","",2066.70,
"Water Tank 4",,,,,,,,,,,1812.81,
"Accumulated Depreciation",,,,,,,,,,,-25381.44,
,"General Journal","01-01-2025","26448",,"Water tank 4 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",453.24,-25834.68,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,453.24,-25834.68,
"Cost",,,,,,,,,,,27194.25,
"Total Cost",,,,,,,,,"","",27194.25,
"Water Tank 4 - Other",,,,,,,,,,,0.00,
"Total Water Tank 4 - Other",,,,,,,,,"","",0.00,
"Total Water Tank 4",,,,,,,,,0.00,453.24,1359.57,
"Tank platform",,,,,,,,,,,262.10,
"Accumulated Depreciation",,,,,,,,,,,-10737.90,
,"General Journal","02-01-2025","26442",,"Tank platform Depreciation","Accumulated Depreciation",,"Depreciation Expense","",130.95,-10868.85,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,130.95,-10868.85,
"Cost",,,,,,,,,,,11000.00,
"Total Cost",,,,,,,,,"","",11000.00,
"Tank platform - Other",,,,,,,,,,,0.00,
"Total Tank platform - Other",,,,,,,,,"","",0.00,
"Total Tank platform",,,,,,,,,0.00,130.95,131.15,
"Water Purifier 1",,,,,,,,,,,-2342.14,
"Accumulated Depreciation",,,,,,,,,,,-9368.00,
,"General Journal","05-01-2025","26509",,"Water Purifier 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",117.10,-9485.10,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,117.10,-9485.10,
"Cost",,,,,,,,,,,7025.86,
"Total Cost",,,,,,,,,"","",7025.86,
"Water Purifier 1 - Other",,,,,,,,,,,0.00,
"Total Water Purifier 1 - Other",,,,,,,,,"","",0.00,
"Total Water Purifier 1",,,,,,,,,0.00,117.10,-2459.24,
"Water tank 1",,,,,,,,,,,240.29,
"Accumulated Depreciation",,,,,,,,,,,-9845.74,
,"General Journal","02-01-2025","26447",,"Water tank 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",120.07,-9965.81,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,120.07,-9965.81,
"Cost",,,,,,,,,,,10086.03,
"Total Cost",,,,,,,,,"","",10086.03,
"Water tank 1 - Other",,,,,,,,,,,0.00,
"Total Water tank 1 - Other",,,,,,,,,"","",0.00,
"Total Water tank 1",,,,,,,,,0.00,120.07,120.22,
"Water tank 2",,,,,,,,,,,-275.90,
"Accumulated Depreciation",,,,,,,,,,,-2000.04,
"Total Accumulated Depreciation",,,,,,,,,"","",-2000.04,
"Cost",,,,,,,,,,,1724.14,
"Total Cost",,,,,,,,,"","",1724.14,
"Water tank 2 - Other",,,,,,,,,,,0.00,
"Total Water tank 2 - Other",,,,,,,,,"","",0.00,
"Total Water tank 2",,,,,,,,,"","",-275.90,
"Water tank 3",,,,,,,,,,,3078.98,
"Accumulated Depreciation",,,,,,,,,,,-7265.85,
,"General Journal","17-01-2025","26680",,"Water Tank 3 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",123.15,-7389.00,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,123.15,-7389.00,
"Cost",,,,,,,,,,,10344.83,
"Total Cost",,,,,,,,,"","",10344.83,
"Water tank 3 - Other",,,,,,,,,,,0.00,
"Total Water tank 3 - Other",,,,,,,,,"","",0.00,
"Total Water tank 3",,,,,,,,,0.00,123.15,2955.83,
"Water Supply - Other",,,,,,,,,,,0.00,
"Total Water Supply - Other",,,,,,,,,"","",0.00,
"Total Water Supply",,,,,,,,,0.00,1016.35,10651.17,
"Workshop Equipment",,,,,,,,,,,88489.20,
"Bosch Optical Level Gol 32D",,,,,,,,,,,38724.79,
"Accumulated Depreciation",,,,,,,,,,,-2038.14,
,"General Journal","03-01-2025","26456",,"Bosch Optical Level Gol 32D Depreciation","Accumulated Depreciation",,"Depreciation Expense","",679.38,-2717.52,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,679.38,-2717.52,
"Cost",,,,,,,,,,,40762.93,
"Total Cost",,,,,,,,,"","",40762.93,
"Bosch Optical Level Gol 32D - Other",,,,,,,,,,,0.00,
"Total Bosch Optical Level Gol 32D - Other",,,,,,,,,"","",0.00,
"Total Bosch Optical Level Gol 32D",,,,,,,,,0.00,679.38,38045.41,
"Six step steel ladder 1",,,,,,,,,,,5788.75,
"Accumulated Depreciation",,,,,,,,,,,-1021.59,
,"General Journal","08-01-2025","26524",,"Six step steel ladder 1 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",113.51,-1135.10,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,113.51,-1135.10,
"Cost",,,,,,,,,,,6810.34,
"Total Cost",,,,,,,,,"","",6810.34,
"Six step steel ladder 1 - Other",,,,,,,,,,,0.00,
"Total Six step steel ladder 1 - Other",,,,,,,,,"","",0.00,
"Total Six step steel ladder 1",,,,,,,,,0.00,113.51,5675.24,
"Bosch Blower 5",,,,,,,,,,,6551.78,
"Accumulated Depreciation",,,,,,,,,,,-1637.88,
,"General Journal","20-01-2025","26685",,"Bosch Blower 5 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",136.49,-1774.37,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,136.49,-1774.37,
"Cost",,,,,,,,,,,8189.66,
"Total Cost",,,,,,,,,"","",8189.66,
"Bosch Blower 5 - Other",,,,,,,,,,,0.00,
"Total Bosch Blower 5 - Other",,,,,,,,,"","",0.00,
"Total Bosch Blower 5",,,,,,,,,0.00,136.49,6415.29,
"Bosch Blower 4",,,,,,,,,,,6551.77,
"Accumulated Depreciation",,,,,,,,,,,-1637.88,
,"General Journal","20-01-2025","26684",,"Bosch Blower 4 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",136.49,-1774.37,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,136.49,-1774.37,
"Cost",,,,,,,,,,,8189.65,
"Total Cost",,,,,,,,,"","",8189.65,
"Bosch Blower 4 - Other",,,,,,,,,,,0.00,
"Total Bosch Blower 4 - Other",,,,,,,,,"","",0.00,
"Total Bosch Blower 4",,,,,,,,,0.00,136.49,6415.28,
"Bosch Blower 3",,,,,,,,,,,3793.14,
"Accumulated Depreciation",,,,,,,,,,,-948.24,
,"General Journal","20-01-2025","26683",,"Bosch Blower 3 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",79.02,-1027.26,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,79.02,-1027.26,
"Cost",,,,,,,,,,,4741.38,
"Total Cost",,,,,,,,,"","",4741.38,
"Bosch Blower 3 - Other",,,,,,,,,,,0.00,
"Total Bosch Blower 3 - Other",,,,,,,,,"","",0.00,
"Total Bosch Blower 3",,,,,,,,,0.00,79.02,3714.12,
"Bosch Blower 2",,,,,,,,,,,6551.77,
"Accumulated Depreciation",,,,,,,,,,,-1637.88,
,"General Journal","13-01-2025","26571",,"Bosch Blower 2 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",136.49,-1774.37,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,136.49,-1774.37,
"Cost",,,,,,,,,,,8189.65,
"Total Cost",,,,,,,,,"","",8189.65,
"Bosch Blower 2 - Other",,,,,,,,,,,0.00,
"Total Bosch Blower 2 - Other",,,,,,,,,"","",0.00,
"Total Bosch Blower 2",,,,,,,,,0.00,136.49,6415.28,
"Bosch Grinder 3",,,,,,,,,,,3017.16,
"Accumulated Depreceiation",,,,,,,,,,,-2155.25,
,"General Journal","16-01-2025","26658",,"Bosch Grinder 3 Depreciation","Accumulated Depreceiation",,"Depreciation Expense","",86.21,-2241.46,"Fixed Asset"
"Total Accumulated Depreceiation",,,,,,,,,0.00,86.21,-2241.46,
"Cost",,,,,,,,,,,5172.41,
"Total Cost",,,,,,,,,"","",5172.41,
"Bosch Grinder 3 - Other",,,,,,,,,,,0.00,
"Total Bosch Grinder 3 - Other",,,,,,,,,"","",0.00,
"Total Bosch Grinder 3",,,,,,,,,0.00,86.21,2930.95,
"Bench Grinder 2",,,,,,,,,,,3218.52,
"Accumulated Depreceiation",,,,,,,,,,,-2815.96,
,"General Journal","03-01-2025","26455",,"Bench Grinder 2 Depreciation","Accumulated Depreceiation",,"Depreciation Expense","",100.57,-2916.53,"Fixed Asset"
"Total Accumulated Depreceiation",,,,,,,,,0.00,100.57,-2916.53,
"Cost",,,,,,,,,,,6034.48,
"Total Cost",,,,,,,,,"","",6034.48,
"Bench Grinder 2 - Other",,,,,,,,,,,0.00,
"Total Bench Grinder 2 - Other",,,,,,,,,"","",0.00,
"Total Bench Grinder 2",,,,,,,,,0.00,100.57,3117.95,
"Bench Grinder 350W",,,,,,,,,,,2320.26,
"Accumulated Depreciation",,,,,,,,,,,-5007.33,
,"General Journal","08-01-2025","26522",,"Bench Grinder 350W Depreciation","Accumulated Depreciation",,"Depreciation Expense","",122.13,-5129.46,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,122.13,-5129.46,
"Cost",,,,,,,,,,,7327.59,
"Total Cost",,,,,,,,,"","",7327.59,
"Bench Grinder 350W - Other",,,,,,,,,,,0.00,
"Total Bench Grinder 350W - Other",,,,,,,,,"","",0.00,
"Total Bench Grinder 350W",,,,,,,,,0.00,122.13,2198.13,
"Bosch Blower",,,,,,,,,,,2327.60,
"Accumulated Depreciation",,,,,,,,,,,-5431.02,
,"General Journal","15-01-2025","26611",,"Bosch Blower Depreciation","Accumulated Depreciation",,"Depreciation Expense","",129.31,-5560.33,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,129.31,-5560.33,
"Cost",,,,,,,,,,,7758.62,
"Total Cost",,,,,,,,,"","",7758.62,
"Bosch Blower - Other",,,,,,,,,,,0.00,
"Total Bosch Blower - Other",,,,,,,,,"","",0.00,
"Total Bosch Blower",,,,,,,,,0.00,129.31,2198.29,
"Blower",,,,,,,,,,,357.44,
"Accumulated Depreciation",,,,,,,,,,,-4642.56,
,"General Journal","06-01-2025","26493",,"Blower Depreciation","Accumulated Depreciation",,"Depreciation Expense","",59.52,-4702.08,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,59.52,-4702.08,
"Cost",,,,,,,,,,,5000.00,
"Total Cost",,,,,,,,,"","",5000.00,
"Blower - Other",,,,,,,,,,,0.00,
"Total Blower - Other",,,,,,,,,"","",0.00,
"Total Blower",,,,,,,,,0.00,59.52,297.92,
"Compressed air gun",,,,,,,,,,,142.78,
"Accumulated Depreciation",,,,,,,,,,,-3857.22,
"Total Accumulated Depreciation",,,,,,,,,"","",-3857.22,
"Cost",,,,,,,,,,,4000.00,
"Total Cost",,,,,,,,,"","",4000.00,
"Compressed air gun - Other",,,,,,,,,,,0.00,
"Total Compressed air gun - Other",,,,,,,,,"","",0.00,
"Total Compressed air gun",,,,,,,,,"","",142.78,
"Drilling machine",,,,,,,,,,,353.80,
"Accumulated Depreciation",,,,,,,,,,,-7071.20,
,"General Journal","07-01-2025","26515",,"Drilling machine Depreciation","Accumulated Depreciation",,"Depreciation Expense","",88.39,-7159.59,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,88.39,-7159.59,
"Cost",,,,,,,,,,,7425.00,
"Total Cost",,,,,,,,,"","",7425.00,
"Drilling machine - Other",,,,,,,,,,,0.00,
"Total Drilling machine - Other",,,,,,,,,"","",0.00,
"Total Drilling machine",,,,,,,,,0.00,88.39,265.41,
"Grease Gun 1",,,,,,,,,,,512.83,
"Accumulated Depreciation",,,,,,,,,,,-5637.17,
"Total Accumulated Depreciation",,,,,,,,,"","",-5637.17,
"Cost",,,,,,,,,,,6150.00,
"Total Cost",,,,,,,,,"","",6150.00,
"Grease Gun 1 - Other",,,,,,,,,,,0.00,
"Total Grease Gun 1 - Other",,,,,,,,,"","",0.00,
"Total Grease Gun 1",,,,,,,,,"","",512.83,
"Grease Gun 2",,,,,,,,,,,379.08,
"Accumulated Depreciation",,,,,,,,,,,-4924.92,
"Total Accumulated Depreciation",,,,,,,,,"","",-4924.92,
"Cost",,,,,,,,,,,5304.00,
"Total Cost",,,,,,,,,"","",5304.00,
"Grease Gun 2 - Other",,,,,,,,,,,0.00,
"Total Grease Gun 2 - Other",,,,,,,,,"","",0.00,
"Total Grease Gun 2",,,,,,,,,"","",379.08,
"Grinder",,,,,,,,,,,639.40,
"Acccumulated Depreciation",,,,,,,,,,,-12785.60,
,"General Journal","07-01-2025","26516",,"Grinder Depreciation","Acccumulated Depreciation",,"Depreciation Expense","",159.82,-12945.42,"Fixed Asset"
"Total Acccumulated Depreciation",,,,,,,,,0.00,159.82,-12945.42,
"Cost",,,,,,,,,,,13425.00,
"Total Cost",,,,,,,,,"","",13425.00,
"Grinder - Other",,,,,,,,,,,0.00,
"Total Grinder - Other",,,,,,,,,"","",0.00,
"Total Grinder",,,,,,,,,0.00,159.82,479.58,
"Grinder 2",,,,,,,,,,,4464.37,
"Accumulated Depreciation",,,,,,,,,,,-10535.63,
,"General Journal","15-01-2025","26640",,"Grinder 2 Depreciation","Accumulated Depreciation",,"Depreciation Expense","",178.57,-10714.20,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,178.57,-10714.20,
"Cost",,,,,,,,,,,15000.00,
"Total Cost",,,,,,,,,"","",15000.00,
"Grinder 2 - Other",,,,,,,,,,,0.00,
"Total Grinder 2 - Other",,,,,,,,,"","",0.00,
"Total Grinder 2",,,,,,,,,0.00,178.57,4285.80,
"Makita Hammer Drill",,,,,,,,,,,2258.13,
"Accumulated Depreciation",,,,,,,,,,,-14983.25,
,"General Journal","23-01-2025","26747",,"Makita Hammer Drill Depreciation","Accumulated Depreciation",,"Depreciation Expense","",205.25,-15188.50,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,205.25,-15188.50,
"Cost",,,,,,,,,,,17241.38,
"Total Cost",,,,,,,,,"","",17241.38,
"Makita Hammer Drill - Other",,,,,,,,,,,0.00,
"Total Makita Hammer Drill - Other",,,,,,,,,"","",0.00,
"Total Makita Hammer Drill",,,,,,,,,0.00,205.25,2052.88,
"Welding machine",,,,,,,,,,,535.83,
"Accumulated Depreciation",,,,,,,,,,,-14464.17,
,"General Journal","07-01-2025","26521",,"Welding machine Depreciation","Accumulated Depreciation",,"Depreciation Expense","",178.57,-14642.74,"Fixed Asset"
"Total Accumulated Depreciation",,,,,,,,,0.00,178.57,-14642.74,
"Cost",,,,,,,,,,,15000.00,
"Total Cost",,,,,,,,,"","",15000.00,
"Welding machine - Other",,,,,,,,,,,0.00,
"Total Welding machine - Other",,,,,,,,,"","",0.00,
"Total Welding machine",,,,,,,,,0.00,178.57,357.26,
"Workshop Equipment - Other",,,,,,,,,,,0.00,
"Total Workshop Equipment - Other",,,,,,,,,"","",0.00,
"Total Workshop Equipment",,,,,,,,,0.00,2589.72,85899.48,
"Total Fixed Assets",,,,,,,,,3615766.38,507015.45,100101502.28,
"Other Assets",,,,,,,,,,,0.00,
"Security Deposits Asset",,,,,,,,,,,0.00,
"Total Security Deposits Asset",,,,,,,,,"","",0.00,
"Total Other Assets",,,,,,,,,"","",0.00,
"Current Assets",,,,,,,,,,,162118175.39,
"Other Current Assets",,,,,,,,,,,23534324.52,
"Advance Inventory",,,,,,,,,,,0.00,
"Total Advance Inventory",,,,,,,,,"","",0.00,
"Finished Goods Inventory",,,,,,,,,,,1762767.66,
"Zelia Machine Wash 4x5L",,,,,,,,,,,22503.60,
,"Invoice","15-01-2025","MC06560","INTEGRAL MEDIA LIMITED","Zelia Machine Wash 4x5L","Zelia Machine Wash 4x5L",,"Accounts Receivable","",292.25,22211.35,"Other Current Asset"
"Total Zelia Machine Wash 4x5L",,,,,,,,,0.00,292.25,22211.35,
"Zelia Machine Wash 9x1.5L",,,,,,,,,,,6719.21,
"Total Zelia Machine Wash 9x1.5L",,,,,,,,,"","",6719.21,
"Zelia Machine Wash 16x750ML",,,,,,,,,,,2660.25,
"Total Zelia Machine Wash 16x750ML",,,,,,,,,"","",2660.25,
"Naivas Scourer Lavender 24x500g",,,,,,,,,,,0.00,
"Total Naivas Scourer Lavender 24x500g",,,,,,,,,"","",0.00,
"Naivas Scourer Lemon 24x500g",,,,,,,,,,,0.00,
"Total Naivas Scourer Lemon 24x500g",,,,,,,,,"","",0.00,
"Zelia Dishwashing Paste 24x500g",,,,,,,,,,,79013.77,
"Total Zelia Dishwashing Paste 24x500g",,,,,,,,,"","",79013.77,
"Zelia Scourer Lemon 24x500g Sta",,,,,,,,,,,64769.86,
,"Invoice","21-01-2025","MC06587","OFFSHORE GLOBAL LOGISTICS LIMITED","Zelia Scourer Lemon 24x500g Standard","Zelia Scourer Lemon 24x500g Sta",,"Accounts Receivable","",194.85,64575.01,"Other Current Asset"
"Total Zelia Scourer Lemon 24x500g Sta",,,,,,,,,0.00,194.85,64575.01,
"Zelia Scourer Lemon 12x1Kg",,,,,,,,,,,41359.57,
"Total Zelia Scourer Lemon 12x1Kg",,,,,,,,,"","",41359.57,
"Zelia Scourer Lemon 24x500g",,,,,,,,,,,11471.88,
"Total Zelia Scourer Lemon 24x500g",,,,,,,,,"","",11471.88,
